2025-07-22 13:14:44,997 - INFO - User 'Skyler' (Role: super_user) logged in.
2025-07-22 13:15:40,398 - INFO - User 'Marty' (Role: kiosk_management) logged in.
2025-07-22 13:15:56,757 - INFO - User 'Skyler' (Role: super_user) logged in.
2025-07-22 13:16:48,306 - INFO - User 'Marty' (Role: kiosk_management) logged in.
2025-07-22 13:19:17,199 - INFO - User 'Skyler' (Role: super_user) logged in.
2025-07-22 13:20:06,244 - INFO - User 'system' (Role: system) logged in.
2025-07-22 14:25:49,978 - ERROR - Klipper fetch for 'Ender 3 Neo #3': 503 Server Error: Klippy Disconnected for url: http://neo3.local/printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard
2025-07-22 14:25:49,995 - ERROR - Klipper fetch for 'Ender 3 Neo #3': 503 Server Error: Klippy Disconnected for url: http://neo3.local/printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard
2025-07-22 14:36:46,010 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f93c7cd70>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:36:55,700 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f93c7f110>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:36:55,702 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f93c7fe60>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:37:05,375 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f922a14f0>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:37:22,010 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f93c7f9b0>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:37:25,701 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f922a2ba0>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:37:25,704 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f922a1be0>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:37:41,368 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f93c7f170>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:37:55,978 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f922a35c0>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
2025-07-22 14:37:55,981 - ERROR - Klipper fetch for 'Tyler's printer': HTTPConnectionPool(host='tylerpi.local', port=80): Max retries exceeded with url: /printer/objects/query?print_stats&display_status&heater_bed&extruder&virtual_sdcard (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7f7f922a1e20>: Failed to resolve 'tylerpi.local' ([Errno -2] Name or service not known)"))
